repository,path,name,url,html_url,git_url,score
MatthewAjayi/ShuttleMusicPlayer,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/268382411/contents/app/src/main/AndroidManifest.xml?ref=a70e9185cac1a7b29bd351808b83166a7d673e57,https://github.com/MatthewAjayi/ShuttleMusicPlayer/blob/a70e9185cac1a7b29bd351808b83166a7d673e57/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/268382411/git/blobs/4e40225ad5a4a4af729d66fe6fd77e9fc7c616f6,1.0
DavidMendozaMartinez/11-Weeks-of-Android,week-11-modern-ui/UAMP/app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/307487051/contents/week-11-modern-ui/UAMP/app/src/main/AndroidManifest.xml?ref=d55a8d932b3b5c618ac08f0dabd70cadab8ec17f,https://github.com/DavidMendozaMartinez/11-Weeks-of-Android/blob/d55a8d932b3b5c618ac08f0dabd70cadab8ec17f/week-11-modern-ui/UAMP/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/307487051/git/blobs/370b1786830022bda26f1e2542e9e037fe05cc1b,1.0
Micronet-Ltd/android9_packages,apps/Music/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/198771243/contents/apps/Music/AndroidManifest.xml?ref=7c3ede5b36dfa1042bebb338b27777c047decde5,https://github.com/Micronet-Ltd/android9_packages/blob/7c3ede5b36dfa1042bebb338b27777c047decde5/apps/Music/AndroidManifest.xml,https://api.github.com/repositories/198771243/git/blobs/3a0b0d8d176dae902366d022113d5a91ecb62689,1.0
willmello99/MediaPlayerDroid,shared/build/intermediates/aapt_friendly_merged_manifests/release/aapt/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/741524259/contents/shared/build/intermediates/aapt_friendly_merged_manifests/release/aapt/AndroidManifest.xml?ref=c1f14ab88a9d6099935e81837ad60201918c0616,https://github.com/willmello99/MediaPlayerDroid/blob/c1f14ab88a9d6099935e81837ad60201918c0616/shared/build/intermediates/aapt_friendly_merged_manifests/release/aapt/AndroidManifest.xml,https://api.github.com/repositories/741524259/git/blobs/5920638c8336fe3a803f2adc210f5a195f7a67ef,1.0
willmello99/MediaPlayerDroid,shared/build/.transforms/07fd2667a94e7519f34fc01c383634a0/transformed/out/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/741524259/contents/shared/build/.transforms/07fd2667a94e7519f34fc01c383634a0/transformed/out/AndroidManifest.xml?ref=c1f14ab88a9d6099935e81837ad60201918c0616,https://github.com/willmello99/MediaPlayerDroid/blob/c1f14ab88a9d6099935e81837ad60201918c0616/shared/build/.transforms/07fd2667a94e7519f34fc01c383634a0/transformed/out/AndroidManifest.xml,https://api.github.com/repositories/741524259/git/blobs/5920638c8336fe3a803f2adc210f5a195f7a67ef,1.0
karimi374/telehamekare,TMessagesProj/config/foss/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/76964474/contents/TMessagesProj/config/foss/AndroidManifest.xml?ref=df5ccda07f632b298612723b7a8298e44cdd8906,https://github.com/karimi374/telehamekare/blob/df5ccda07f632b298612723b7a8298e44cdd8906/TMessagesProj/config/foss/AndroidManifest.xml,https://api.github.com/repositories/76964474/git/blobs/4e479a984b0c16a47834017c7a414ca2b82219e7,1.0
karimi374/telehamekare,TMessagesProj/config/debug/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/76964474/contents/TMessagesProj/config/debug/AndroidManifest.xml?ref=df5ccda07f632b298612723b7a8298e44cdd8906,https://github.com/karimi374/telehamekare/blob/df5ccda07f632b298612723b7a8298e44cdd8906/TMessagesProj/config/debug/AndroidManifest.xml,https://api.github.com/repositories/76964474/git/blobs/4e479a984b0c16a47834017c7a414ca2b82219e7,1.0
karimi374/telehamekare,TMessagesProj/config/release/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/76964474/contents/TMessagesProj/config/release/AndroidManifest.xml?ref=df5ccda07f632b298612723b7a8298e44cdd8906,https://github.com/karimi374/telehamekare/blob/df5ccda07f632b298612723b7a8298e44cdd8906/TMessagesProj/config/release/AndroidManifest.xml,https://api.github.com/repositories/76964474/git/blobs/4e479a984b0c16a47834017c7a414ca2b82219e7,1.0
naman14/TimberX,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/133267421/contents/app/src/main/AndroidManifest.xml?ref=6a258d2c3dc4211ba0968458a3e913d27a07dff9,https://github.com/naman14/TimberX/blob/6a258d2c3dc4211ba0968458a3e913d27a07dff9/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/133267421/git/blobs/705e5fda2155e1d2c7c175d6550d1ef98134a653,1.0
Fleker/CumulusTV,app/src/main/AndroidManifest.xml,AndroidManifest.xml,https://api.github.com/repositories/38995301/contents/app/src/main/AndroidManifest.xml?ref=25672959ef5ee2ef8402a4943ed8c6efb47670a7,https://github.com/Fleker/CumulusTV/blob/25672959ef5ee2ef8402a4943ed8c6efb47670a7/app/src/main/AndroidManifest.xml,https://api.github.com/repositories/38995301/git/blobs/8a39f4c7a5b8a6fa89a585dc794875ec72cb9965,1.0
