Issue,Repo Name
https://github.com/CappielloAntonio/tempo/issues/128,CappielloAntonio/tempo
https://github.com/OxygenCobalt/Auxio/issues/858,OxygenCobalt/Auxio
https://github.com/OxygenCobalt/Auxio/issues/37,OxygenCobalt/Auxio
https://github.com/VinylMusicPlayer/VinylMusicPlayer/issues/671,VinylMusicPlayer/VinylMusicPlayer
https://github.com/VinylMusicPlayer/VinylMusicPlayer/issues/348,VinylMusicPlayer/VinylMusicPlayer
https://github.com/VinylMusicPlayer/VinylMusicPlayer/issues/237,VinylMusicPlayer/VinylMusicPlayer
https://github.com/jellyfin/jellyfin-android/issues/226,jellyfin/jellyfin-android
https://github.com/AntennaPod/AntennaPod/issues/6771,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/6764,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/6752,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/6698,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/6372,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/6320,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/6220,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/5481,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/5393,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/5247,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/4863,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/4532,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/4531,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/3691,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/3133,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/2965,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/2825,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/2606,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/2583,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/2551,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/2492,AntennaPod/AntennaPod
https://github.com/AntennaPod/AntennaPod/issues/2380,AntennaPod/AntennaPod
https://github.com/fast4x/RiMusic/issues/1065,fast4x/RiMusic
https://github.com/element-hq/element-android/issues/4205,element-hq/element-android
https://github.com/fast4x/RiMusic/issues/321,fast4x/RiMusic
https://gitlab.com/ultrasonic/ultrasonic/issues/827,ultrasonic/ultrasonic
https://gitlab.com/ultrasonic/ultrasonic/issues/884,ultrasonic/ultrasonic
https://github.com/VinylMusicPlayer/VinylMusicPlayer/issues/376,VinylMusicPlayer/VinylMusicPlayer
https://github.com/PaulWoitaschek/Voice/issues/438,PaulWoitaschek/Voice
